;Comment;Sentiment (Afinn's Dictionary)
0;comment investing broker scam video cryptocurrencie evidently include underlie technology math hotbed attract nefarious actor prey hi new channel visualize math I probably land search btc work spend afternoon getting pull learn prime number problem solve moment look rest channel enjoy find;0.0
1;I recommend report reply explain potential reader advertisement scam comment quick save somebody dollar;2.0
2;thank lisa;2.0
3;matter time scammer come discount;1.0
4;wow I scam scroll reply lmao;6.0
5;I appreciate effort account I try I regret;0.0
6;yeah right;1.0
7;mr crystal eat hamster;0.0
8;gile lmaooooo;0.0
9;update video info outdate cool explanation layer feature like lightning etc;3.0
10;jesus christ like half comment reply comment watch scam scam;-1.0
11;video transform laplace fourier transform help engineering people grant little know physical meaning subject engineering base transform like signal system signal processing control theory vedio surely difference understand subject;5.0
12;harsh shankar;-2.0
13;harsh shankar yes laplace;-1.0
14;;0.0
15;yes pls;1.0
16;I need;0.0
17;yeah transform bit sorcerous difficult mechanically physical meaning focus college;0.0
18;pronounce word right video;0.0
19;z transform;0.0
20;harsh shankar oh yea I love;1.0
21;I love transform amazing check eugene khutoryansky video transform video amazingly visual video transform exception explain actual process math visually understandable way I far youtube channel physics video eugene khutoryansky;7.0
22;extremely information dense lecture watch portion grasp underlie concept finish feel damn confident;0.0
23;dude good explain explain complex idea understandable way skill people;3.0
24;year later I comeback blockchain explanation check understanding love;3.0
25;think pace helpful clear thank;5.0
26;incredibly;0.0
27;discuss viable alice try commit fraud compute miner network explain happen group miner form majority network decide commit fraud;-6.0
28;possible fact miner bitcoin network total hashing power total mining network computation probably use million day honest mining defraud single individual;-1.0
29;true attack flaw smart contract write ethereum attack blockchain;-1.0
30;I refer fact change original contract block chain history attack current canonical block chain time build entire chain;-3.0
31;yeah truth I problem word attack describe hard fork actually valid point;-3.0
32;fascinating;3.0
33;specific scenario attack;-1.0
34;people insane computing power money mining actually offset electricity bill;-2.0
35;group individual miner share payment;1.0
36;great explanation I question miner need look imput output certain output number equally unique;4.0
37;I believe certain achieve start universal way find proof work instead arbitrary string bit use generate password need additional mechanism check validity proof work;1.0
38;number mining difficulty miner mean key require rate block minute maintain regardless mining pool size;-1.0
